City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Toora-Khem,RU,52.4675,96.11,41.88,72,100,1.83,overcast clouds
143,Hamilton,US,39.1834,-84.5333,47.25,54,0,12.66,clear sky
144,Bull Savanna,JM,17.8868,-77.5902,74.57,79,0,7.14,clear sky
145,Bathsheba,BB,13.2167,-59.5167,79.41,73,40,14.97,scattered clouds
146,San Patricio,US,28.017,-97.5169,80.69,76,18,8.79,few clouds
147,Cuencame,MX,24.8711,-103.6964,84.09,8,94,13.94,overcast clouds
148,Guozhen,CN,34.3659,107.359,58.15,35,92,4.32,overcast clouds
149,Katsuura,JP,35.1333,140.3,62.83,67,100,10.74,overcast clouds
150,Tiksi,RU,71.6872,128.8694,3.81,97,94,4.45,overcast clouds
151,Doha,QA,25.2867,51.5333,78.78,26,0,10.36,clear sky
152,Dikson,RU,73.5069,80.5464,-3.59,100,100,3.2,overcast clouds
153,Pereleshino,RU,51.7376,40.1388,42.91,94,100,9.91,overcast clouds
154,Olafsvik,IS,64.8945,-23.7142,42.17,70,100,10.74,overcast clouds
155,Cabo San Lucas,MX,22.8909,-109.9124,87.1,32,40,9.22,scattered clouds
156,La Macarena,CO,2.1837,-73.7849,70.77,97,100,2.42,overcast clouds
157,Teo,ES,42.75,-8.5,56.17,84,100,8.05,overcast clouds
158,Kalmunai,LK,7.4167,81.8167,78.75,86,66,4.7,broken clouds
159,Beringovskiy,RU,63.05,179.3167,31.28,97,100,9.48,light snow
160,Lata,PT,40.1629,-8.3327,58.82,98,40,1.39,scattered clouds
161,Brownsville,US,25.9018,-97.4975,80.1,81,75,13.8,broken clouds
162,Colomi,BO,-17.35,-65.8667,50.02,85,42,3.09,scattered clouds
163,Taltal,CL,-25.4,-70.4833,62.2,79,1,5.86,clear sky
164,Menongue,AO,-14.6585,17.691,61.38,96,17,3.53,few clouds
165,Bobota,RO,47.3833,22.7667,29.48,71,9,2.24,clear sky
166,Zunyi,CN,27.6867,106.9072,49.62,89,100,3.53,overcast clouds
167,Firminy,FR,45.3873,4.2907,37.9,87,0,3.44,clear sky
168,Namatanai,PG,-3.6667,152.4333,86.04,63,95,11.25,overcast clouds
169,Bethel,US,41.3712,-73.414,43.11,52,0,4.0,clear sky
170,Sitka,US,57.0531,-135.33,46.29,53,75,5.75,broken clouds
171,Hervey Bay,AU,-25.2986,152.8535,75.34,56,51,9.26,broken clouds
172,Qitaihe,CN,45.8,130.85,46.42,30,0,8.3,clear sky
173,Eyl,SO,7.9803,49.8164,81.03,82,35,8.1,scattered clouds
174,La Rioja,ES,42.25,-2.5,42.58,72,100,3.76,overcast clouds
175,Fairbanks,US,64.8378,-147.7164,41.09,26,0,6.91,clear sky
176,Souillac,MU,-20.5167,57.5167,77.38,94,75,5.75,shower rain
177,Tatarani,RO,45.0,25.2667,38.48,99,100,4.59,overcast clouds
178,Comrie,GB,56.3791,-3.9949,51.28,94,100,5.84,overcast clouds
179,Kez,RU,57.8979,53.7152,26.56,87,100,6.04,overcast clouds
180,Henties Bay,NA,-22.116,14.2845,61.59,78,7,4.12,clear sky
181,Deputatskiy,RU,69.3,139.9,8.26,92,95,3.94,overcast clouds
182,Indramayu,ID,-6.3264,108.32,82.38,79,51,4.29,moderate rain
183,Ilulissat,GL,69.2167,-51.1,15.82,73,75,4.61,light shower snow
184,Umm Kaddadah,SD,13.6017,26.6876,83.97,11,2,8.72,clear sky
185,General Pico,AR,-35.6566,-63.7568,57.36,60,0,8.7,clear sky
186,Ngunguru,NZ,-35.6167,174.5,66.47,93,100,23.58,light rain
187,Nantucket,US,41.2835,-70.0995,44.71,57,0,9.22,clear sky
188,Arnedo,ES,42.2167,-2.1,47.7,60,100,10.56,overcast clouds
189,Kirakira,SB,-10.4544,161.9205,85.03,68,91,8.25,overcast clouds
190,Banjar,ID,-8.19,114.9675,83.59,80,100,2.89,overcast clouds
191,Quatre Cocos,MU,-20.2078,57.7625,77.11,87,41,10.89,light rain
192,Berlevag,NO,70.8578,29.0864,40.8,94,100,15.28,overcast clouds
193,Ola,RU,59.5833,151.2833,26.15,68,100,1.1,overcast clouds
194,Poso,ID,-1.3959,120.7524,84.04,70,98,0.76,overcast clouds
195,Kungurtug,RU,50.5994,97.5228,39.67,61,3,1.99,clear sky
196,Nago,JP,26.5881,127.9761,74.25,60,13,1.83,few clouds
197,Leningradskiy,RU,69.3833,178.4167,19.4,89,95,5.35,overcast clouds
198,Khorinsk,RU,52.1657,109.7726,51.12,50,100,4.99,overcast clouds
199,Georgiyevka,KZ,43.0369,74.7114,48.24,93,73,2.24,mist
200,Santa Cruz,BO,-17.8,-63.1667,69.26,68,75,4.61,broken clouds
201,Provideniya,RU,64.3833,-173.3,32.36,86,100,25.01,snow
202,Rawson,AR,-43.3002,-65.1023,60.78,73,0,23.78,clear sky
203,Tiarei,PF,-17.5333,-149.3333,86.02,74,23,10.89,light rain
204,Butaritari,KI,3.0707,172.7902,81.93,72,29,12.71,scattered clouds
205,Parana,AR,-31.732,-60.5238,64.51,93,8,5.46,clear sky
206,Muli,MV,2.9167,73.5667,83.79,68,65,10.58,broken clouds
207,Mangan,IN,27.5167,88.5333,71.58,52,0,3.51,clear sky
208,Sinnamary,GF,5.3833,-52.95,77.29,87,54,9.55,broken clouds
209,Berdigestyakh,RU,62.0989,126.6992,29.41,77,100,13.35,overcast clouds
210,Tual,ID,-5.6667,132.75,83.88,73,100,7.63,overcast clouds
211,Castro,BR,-24.7911,-50.0119,51.62,97,4,4.61,clear sky
