City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
57,Coquimbo,CL,55.13,broken clouds,-29.9533,-71.3436,Hotel San Juan
58,Bend,US,50.25,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
60,Bluff,NZ,61.81,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
62,Sirohi,IN,74.89,clear sky,24.8833,72.8667,Dheeraj Kumar
64,Dauphin,CA,24.94,overcast clouds,51.1494,-100.0502,Canway Inn & Suites
65,New Norfolk,AU,58.87,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
66,Mandalgovi,MN,43.92,clear sky,45.7625,106.2708,В.Ганбат
67,Phek,IN,61.11,clear sky,25.6667,94.5,Prayer Centre
68,Arraial Do Cabo,BR,72.88,clear sky,-22.9661,-42.0278,Pousada Porto Praia
69,Port Hedland,AU,89.65,few clouds,-20.3167,118.5667,The Esplanade Hotel
70,Tortoli,IT,51.62,clear sky,39.9256,9.6572,Hotel La Bitta
72,Kodiak,US,40.51,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
73,Shahreza,IR,48.31,clear sky,32.0339,51.8794,خوابگاه
74,Chicama,PE,61.34,few clouds,-7.8447,-79.1469,Balihai Bungalows
76,Hobart,AU,58.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
77,Zeya,RU,39.2,overcast clouds,53.75,127.2667,Kapital Inn
78,Atuona,PF,79.57,clear sky,-9.8,-139.0333,Villa Enata
79,Waipawa,NZ,59.88,broken clouds,-41.4122,175.5153,Tora Coastal Walk
80,Lasa,IT,43.68,clear sky,46.6166,10.7002,Pension Feldgärtenhof
81,Ribeira Grande,PT,58.03,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
82,Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
83,Coracao De Jesus,BR,67.12,overcast clouds,-16.6853,-44.365,Hotel Neves
84,Komsomolskiy,UZ,61.52,scattered clouds,40.4272,71.7189,Ikathouse
86,Norman Wells,CA,24.84,few clouds,65.282,-126.8329,Heritage Hotel
87,Cidreira,BR,67.55,broken clouds,-30.1811,-50.2056,Hotel Castelo
88,Kaitangata,NZ,58.48,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
89,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
90,Waseca,US,33.69,light snow,44.0777,-93.5074,American Motel
91,Aklavik,CA,21.02,overcast clouds,68.2191,-135.0107,Aklavik Inn
92,Seaford,GB,52.36,clear sky,50.7714,0.1027,Premier Inn Newhaven hotel
93,Severo-Kurilsk,RU,32.27,overcast clouds,50.6789,156.125,Kak Doma
94,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
95,Elizabeth City,US,53.62,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
96,Manta,EC,78.58,scattered clouds,-0.95,-80.7333,Balandra Hotel
98,Rio Gallegos,AR,46.45,light rain,-51.6226,-69.2181,Hotel Santa Cruz
99,Puerto Baquerizo Moreno,EC,74.01,light rain,-0.9,-89.6,Hotel los Algarrobos
100,Urumqi,CN,63.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
101,Constitucion,CL,51.31,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
102,Rize,TR,44.04,overcast clouds,40.9044,40.8949,Zilkale Otel
103,Longyearbyen,SJ,21.04,light snow,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
104,Tuktoyaktuk,CA,19.4,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
105,Shalinskoye,RU,47.44,light rain,55.7228,93.7594,Belaya Sova
106,Georgetown,MY,84.13,thunderstorm,5.4112,100.3354,Cititel Penang
107,Bambous Virieux,MU,77.25,shower rain,-20.3428,57.7575,Casa Tia Villa
108,Ulaangom,MN,46.62,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
109,Aksu,CN,55.92,clear sky,41.1231,80.2644,Pudong Holiday Hotel
110,Saryagash,KZ,60.76,overcast clouds,41.4511,69.1701,fatyCentre Paradise
111,Saint George,US,82.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
113,Safaga,EG,76.96,overcast clouds,26.7292,33.9365,Lamar Resort Abu Soma
115,Chenzhou,CN,51.51,overcast clouds,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
116,Port-Gentil,GA,80.33,moderate rain,-0.7193,8.7815,Fengshui Residence
119,Esperance,AU,62.98,broken clouds,-33.8667,121.9,Hospitality Esperance
120,Namibe,AO,72.5,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
121,Baglung,NP,69.01,clear sky,28.2719,83.5898,Hotel Peace Palace
122,Neuenhagen,DE,45.77,broken clouds,52.5299,13.6891,Hotel Hoppegarten Berlin
123,Rockport,US,77.04,overcast clouds,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
124,Saldanha,ZA,55.45,few clouds,-33.0117,17.9442,Blue Bay Lodge
125,Palmer,US,40.6,few clouds,42.1584,-72.3287,Wedgewood Motel
126,East London,ZA,64.36,clear sky,-33.0153,27.9116,Tu Casa
128,Luganville,VU,86.18,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
129,Laguna,US,73.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
130,Dawson,US,69.22,broken clouds,31.7735,-84.4466,Country Hearth Inn & Suites Dawson
131,Kieta,PG,82.8,light rain,-6.2167,155.6333,Uruna Bay Retreat
132,Kashiwazaki,JP,66.88,overcast clouds,37.3667,138.55,Hotel Sunshine
133,Cape Town,ZA,63.01,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
135,Faanui,PF,81.07,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
137,Caravelas,BR,78.03,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
138,Port Lincoln,AU,62.92,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
139,Port Alfred,ZA,60.19,clear sky,-33.5906,26.891,The Halyards Hotel
141,Ballaghaderreen,IE,43.83,few clouds,53.9,-8.5833,Willowbrook Glamping & Hideaways
143,Hamilton,US,47.25,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
144,Bull Savanna,JM,74.57,clear sky,17.8868,-77.5902,Big Red's
145,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
146,San Patricio,US,80.69,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
147,Cuencame,MX,84.09,overcast clouds,24.8711,-103.6964,HOTEL RICOME
148,Guozhen,CN,58.15,overcast clouds,34.3659,107.359,Yucai Hotel
149,Katsuura,JP,62.83,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
151,Doha,QA,78.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
154,Olafsvik,IS,42.17,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
155,Cabo San Lucas,MX,87.1,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
156,La Macarena,CO,70.77,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
157,Teo,ES,56.17,overcast clouds,42.75,-8.5,Casa Rural Paz
158,Kalmunai,LK,78.75,broken clouds,7.4167,81.8167,VS Villa
160,Lata,PT,58.82,scattered clouds,40.1629,-8.3327,Casa Maquia
161,Brownsville,US,80.1,broken clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
162,Colomi,BO,50.02,scattered clouds,-17.35,-65.8667,Casa
163,Taltal,CL,62.2,clear sky,-25.4,-70.4833,Residencial Karime
164,Menongue,AO,61.38,few clouds,-14.6585,17.691,Ritz Lauca
165,Bobota,RO,29.48,clear sky,47.3833,22.7667,Pensiunea Sophia
166,Zunyi,CN,49.62,overcast clouds,27.6867,106.9072,Bishiluo Hostel
167,Firminy,FR,37.9,clear sky,45.3873,4.2907,Hôtel de la Tour et Hôtel du Pole
168,Namatanai,PG,86.04,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
169,Bethel,US,43.11,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
170,Sitka,US,46.29,broken clouds,57.0531,-135.33,Westmark Sitka
171,Hervey Bay,AU,75.34,broken clouds,-25.2986,152.8535,Shelly Bay Resort
172,Qitaihe,CN,46.42,clear sky,45.8,130.85,Baiyun Hostel
173,Eyl,SO,81.03,scattered clouds,7.9803,49.8164,Amiin Hotel
174,La Rioja,ES,42.58,overcast clouds,42.25,-2.5,Casa Concejos
175,Fairbanks,US,41.09,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
176,Souillac,MU,77.38,shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
177,Tatarani,RO,38.48,overcast clouds,45.0,25.2667,Pensiunea La Mosie
178,Comrie,GB,51.28,overcast clouds,56.3791,-3.9949,Fordie Lodge
179,Kez,RU,26.56,overcast clouds,57.8979,53.7152,Gostinitsa Uyut Kez
182,Indramayu,ID,82.38,moderate rain,-6.3264,108.32,Grand Trisula Hotel
183,Ilulissat,GL,15.82,light shower snow,69.2167,-51.1,Hotel Arctic
185,General Pico,AR,57.36,clear sky,-35.6566,-63.7568,Euskadi Hotel
186,Ngunguru,NZ,66.47,light rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
187,Nantucket,US,44.71,clear sky,41.2835,-70.0995,Jared Coffin House
188,Arnedo,ES,47.7,overcast clouds,42.2167,-2.1,Hotel Virrey
189,Kirakira,SB,85.03,overcast clouds,-10.4544,161.9205,SanBiz Lodge
190,Banjar,ID,83.59,overcast clouds,-8.19,114.9675,The Hamsa Resort
191,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
192,Berlevag,NO,40.8,overcast clouds,70.8578,29.0864,Kvitbrakka
194,Poso,ID,84.04,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
196,Nago,JP,74.25,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
198,Khorinsk,RU,51.12,overcast clouds,52.1657,109.7726,Uda
199,Georgiyevka,KZ,48.24,mist,43.0369,74.7114,Gostinitsa Imperiya
200,Santa Cruz,BO,69.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
202,Rawson,AR,60.78,clear sky,-43.3002,-65.1023,Hosteria Sampedro
203,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
204,Butaritari,KI,81.93,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
205,Parana,AR,64.51,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
206,Muli,MV,83.79,broken clouds,2.9167,73.5667,Medhufushi Island Resort
207,Mangan,IN,71.58,clear sky,27.5167,88.5333,Hotel Mout View
208,Sinnamary,GF,77.29,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
210,Tual,ID,83.88,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
211,Castro,BR,51.62,clear sky,-24.7911,-50.0119,CHACARA BAILLY
212,Peterhead,GB,46.8,overcast clouds,57.5058,-1.7981,Palace Hotel
213,Jiwani,PK,81.07,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
214,Worthington,US,45.86,clear sky,40.0931,-83.018,Sheraton Suites Columbus Worthington
215,Puerto Ayora,EC,75.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
216,Samarai,PG,81.97,overcast clouds,-10.6167,150.6667,Nuli Sapi
217,Hammerfest,NO,39.65,overcast clouds,70.6634,23.6821,Skytterhuset
218,Santiago Del Estero,AR,65.35,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
219,Dunedin,NZ,60.8,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
220,Ponta Do Sol,PT,66.13,scattered clouds,32.6667,-17.1,Hotel do Campo
221,Gladstone,AU,78.73,clear sky,-23.85,151.25,Highpoint International Hotel
222,Madingou,CG,74.07,overcast clouds,-4.1536,13.55,HOTEL KIM ELISA
223,Charters Towers,AU,81.12,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
224,Maymyo,MM,75.18,clear sky,22.0333,96.4667,Tiger Hotel
225,Atar,MR,85.59,overcast clouds,20.5169,-13.0499,Oumou Elghoura
227,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
